Time(Iteration),UCB1,egreedy_0.1,IMFB
0,15,14,20
1,21,12,20
2,19,22,14
3,14,14,24
4,15,15,18
5,18,21,12
6,16,11,16
7,15,13,19
8,20,15,20
9,24,10,13
10,14,12,14
11,12,17,18
12,22,16,16
13,16,20,14
14,20,12,29
15,25,16,22
16,13,12,19
17,18,17,21
18,18,26,15
19,20,19,19
20,14,29,11
21,16,18,13
22,32,11,21
23,18,12,32
24,20,25,15
25,16,19,19
26,21,18,13
27,16,23,12
28,17,11,15
29,12,20,40
30,17,18,17
31,21,16,17
32,18,23,22
33,17,14,17
34,10,16,11
35,18,16,18
36,19,17,17
37,14,13,22
38,20,25,15
39,13,16,12
40,17,20,21
41,23,15,28
42,15,19,13
43,16,12,17
44,13,17,12
45,28,20,25
46,23,11,17
47,14,15,18
48,13,18,14
49,14,12,12
