Time(Iteration),UCB1,egreedy_0.1,IMFB
0,339.3304543481538,300.05997976589816,171.05916308905887
1,300.6790608094689,286.56185952506837,302.20302787503573
2,277.71278206099896,293.5284541029229,227.50746191427987
3,308.2755018081463,278.3256907156412,267.5826433183498
4,187.0144661690001,243.6522453255916,293.4330484297037
5,257.7340034669472,218.75548068118104,265.4497444759242
6,263.088460985905,268.54868739827305,326.4504847871251
7,259.93986584891724,268.8917969640414,249.6633397017614
8,263.00394061287756,340.83378701952944,369.4511080589774
9,293.2694325137207,271.26511481985114,243.36424025145828
10,226.83914593454858,258.7287376026288,277.001411077403
11,234.9142847537004,257.772953815123,330.0522268625025
12,264.7928225131243,287.8976684870931,256.95999276444127
13,241.6768735063087,300.7174743281036,255.04626610112754
14,250.08524712475372,257.40055451676653,238.80260422158352
15,242.47168506032565,255.74003718966435,287.16338675900215
16,219.54978740252986,289.9607509410837,268.8917969640414
17,248.95603318942355,241.1070844145983,206.714106109129
18,300.414145974789,292.5666412397796,304.00593883168955
19,199.4178060551027,262.78688400729317,249.6633397017614
20,297.039344253835,306.1030351437248,281.5874066640514
21,336.9388808864143,277.71278206099896,257.1171258929782
22,313.047015793587,282.94714066952037,254.69359368830985
23,206.2091864914137,180.59832442215907,290.63047266756917
24,213.86103220712425,236.82113368849966,363.0687462959191
25,244.41632101655782,257.8361824114961,264.02680264281
26,272.4063845775524,319.53136392268493,277.28969973735735
27,310.3161472812287,265.4497444759242,246.35460578721194
28,311.9098895035577,201.32465498990197,270.6065564451271
29,294.58602244143714,297.6972825459379,316.51487187829366
30,235.5050904824711,293.1322746073568,271.3769819848393
31,242.38648038126843,276.17104895972324,287.66071215198224
32,221.88760321737362,279.88189042223706,294.8642630649476
33,189.28429550168676,310.94356496171673,222.44942087303673
34,287.8746459617143,269.71397859215847,271.22843393190107
35,265.6186427817026,284.9743709520058,333.2402214364498
36,214.1209289485495,326.75587330735186,261.49241040664583
37,335.67582719578996,288.6064686802247,318.34218694816525
38,249.815279303373,290.8260936413026,312.0852029304437
39,299.5232813414077,265.9209921258433,264.62756284780716
40,356.08811459395935,288.7321201251197,219.54978740252986
41,345.78976905680184,212.61619251084807,252.88677856427714
42,239.3880112093574,205.64931222699028,306.1030351437248
43,211.2928088146013,240.04383913150218,219.2504833263513
44,337.62207732078133,305.0688441232301,290.8062904385076
45,255.99914221144337,257.82622793526974,226.8516339921351
46,295.2364332971812,204.6487928528573,248.0112366693108
47,270.41076345229806,295.96082408132645,312.95161012036783
48,260.2633763276776,283.9089535326637,294.32391306308494
49,193.48543913915103,291.42762087523636,248.45067865764562
50,263.4059650508639,252.3057018159276,222.95477540481465
51,198.75643159737902,337.47942213223416,217.89768437007928
52,301.560546565339,297.6972825459379,352.5052584087298
53,272.1364167561716,271.3725763154414,356.24112918209016
54,260.6885141876843,243.2938666884427,193.06767640197336
55,206.9514110884668,249.815279303373,287.66071215198224
56,224.86833004903272,250.42935957207564,300.91573617151283
57,245.9055570588801,234.14048983674377,275.3761450931393
58,308.0743874930153,273.6308719258444,271.08311929320234
59,329.71594849961906,326.40465810509005,321.7264445150987
60,299.0033420204353,269.4500849183958,307.8209688142095
61,283.54536433347414,213.197273093378,281.5874066640514
62,215.5570429308355,238.17975736224602,318.1125258097354
63,344.40218265808664,238.79156472851543,271.5094903846192
64,246.13515897156273,261.09449470862216,238.93942585620783
65,312.25063776205945,265.4497444759242,261.92520238618687
66,259.3105002173618,264.320530540594,224.44338715031958
67,355.53715698577804,304.55803425824377,338.0208644483048
68,223.81402151876406,333.2402214364498,255.79536842669512
69,249.54140474777932,308.25798291214153,273.02546562112315
70,196.58968592115446,267.67019916709813,247.45066197092268
71,302.4473364668764,254.51204454854084,277.3291997303466
72,279.88189042223706,310.367269259959,249.6633397017614
73,317.1502284488633,291.21293441684,250.86958783364162
74,248.45067865764562,232.08616461975214,317.8454884378688
75,220.91230938486055,211.60543295448542,265.4497444759242
76,260.6885141876843,301.6380682162845,228.86998389661053
