Time(Iteration),UCB1,egreedy_0.1,IMFB
0,303.5645008360894,290.85414222213905,279.1277082186078
1,290.85414222213905,290.8097361347802,291.7890889674336
2,288.8567981118605,297.67385417339756,279.16213814146
3,293.7480733849986,288.8555998246492,283.036098579622
4,293.76075123394764,279.17955714847284,287.88410598467516
5,289.8324429629726,300.61397659010436,288.90830176275296
6,285.985572346345,280.11006790878355,291.79222312219764
7,293.74725257472863,293.74501087840054,286.96538579896446
8,290.81003206939556,295.7090882122451,299.63050017785855
9,285.9362550879948,293.7717612572926,285.9289446107172
10,294.72780300778015,292.8378293406161,283.991284223171
11,281.06199845852166,285.9362550879948,289.8324429629726
12,298.6471295278481,282.0343172304164,287.91249313200314
13,286.9042889401413,294.8069582754592,295.7255171951001
14,290.8122458291102,295.7090882122451,297.72388706763087
15,289.8626251339614,285.9688636289123,297.6657342167061
16,290.81003206939556,282.06000369502567,278.1738661274303
17,283.036098579622,297.66839916575464,295.7090882122451
18,293.7480733849986,293.76075123394764,286.9218113525137
19,290.8395822908983,288.8555998246492,287.87950494005287
20,290.81003206939556,292.7794660294827,287.8906873327412
21,292.7656580457471,299.63050017785855,291.7989155964312
22,295.7038985791896,292.7720365748171,284.99053082436836
23,295.70509617958777,282.0492146205227,282.09042049380383
24,290.81314887402795,285.92956915381075,294.75450943674315
25,285.00649809817537,291.8084582711258,298.647751998408
26,292.81890818329146,289.834816069484,289.8324429629726
27,284.97749697286656,297.66584432338317,292.7794660294827
28,298.6663170802051,287.8906873327412,298.6471295278481
29,291.8543529283703,284.97749697286656,287.88038382473763
30,299.6346237574509,285.9550860792895,292.7794660294827
31,290.8395822908983,288.8895464394807,284.9669814412801
32,282.0413484369289,297.707114783832,294.75450943674315
33,285.9289446107172,283.98051690328293,287.88038382473763
34,286.9218113525137,288.9272214364809,284.97749697286656
35,291.836160003841,299.64153308011663,288.8923065846226
36,286.0278552162001,288.9272214364809,277.295470231091
37,289.8328929964568,293.74725257472863,289.8400278956421
38,293.7525870078686,290.8122458291102,284.97749697286656
39,284.0129417179454,289.84809438545483,290.8395822908983
40,283.0245589499468,293.74725257472863,295.70509617958777
41,281.0976381642887,291.89951061094786,294.74276901564957
42,298.647751998408,289.84809438545483,302.5831055249474
43,290.8279078380742,286.0278552162001,293.74725257472863
44,289.84809438545483,296.68444901224115,289.9318317042288
45,298.6511473452051,291.836160003841,288.85722696306107
46,283.05057618720843,300.61882625192425,293.80238459553726
47,284.96737910776733,288.90830176275296,293.7856334565157
48,283.991284223171,290.81314887402795,295.7255171951001
49,297.6931961018192,283.0245589499468,281.0675121863127
50,288.9272214364809,297.6657342167061,292.78974347559074
51,291.8543529283703,291.8084582711258,282.13274309895246
52,291.79222312219764,294.75450943674315,294.72454574653625
53,292.7794660294827,289.90923921818285,281.0633094720595
54,295.7255171951001,290.8279078380742,287.8906873327412
55,286.9072628463518,291.79222312219764,287.8814537824364
56,292.7794660294827,296.68890136418014,293.76075123394764
57,292.7674391221092,290.81003206939556,292.7794660294827
58,289.8400278956421,287.945936232016,286.93341888383344
59,298.6663170802051,287.88410598467516,284.96737910776733
60,293.82203183508943,290.81003206939556,287.87950494005287
61,282.11008427781553,294.74276901564957,291.79222312219764
62,284.04634240477077,291.82086749536325,285.94422224609076
63,293.7525870078686,288.8567981118605,293.7525870078686
64,283.0160721424663,301.5981790845776,279.16213814146
65,287.91249313200314,287.8814537824364,288.8923065846226
66,290.8279078380742,296.73823880360453,294.72780300778015
67,283.0103354368191,296.68529389033165,289.8590318578468
68,290.8279078380742,286.9072628463518,285.9550860792895
69,293.7525870078686,295.7255171951001,302.5831055249474
70,293.74725257472863,291.79222312219764,288.90830176275296
71,295.70509617958777,291.82086749536325,297.67385417339756
72,289.8400278956421,287.90014415705764,298.6511473452051
73,298.6511473452051,290.81314887402795,296.691105993947
74,297.707114783832,292.8378293406161,299.64153308011663
75,290.8395822908983,283.0159398937469,292.78974347559074
76,294.74276901564957,282.0492146205227,284.96016020339846
77,293.74725257472863,286.9042889401413,278.15538944671306
78,289.8400278956421,292.7674391221092,292.8028852770652
79,294.72454574653625,294.7240851265702,286.9130982263182
80,288.8567981118605,277.1908341917919,288.86902013728513
81,291.82086749536325,291.7883648739395,283.9848158739744
82,297.6931961018192,289.8324429629726,288.85722696306107
83,295.7038985791896,294.72454574653625,301.5981790845776
84,281.0746231637047,298.6511473452051,296.73823880360453
85,290.81910214381173,284.99053082436836,292.78974347559074
86,292.76667807385655,289.8400278956421,299.62914730955004
87,290.8097361347802,283.9848158739744,298.6573305856433
88,285.9362550879948,282.07373304888506,298.73061537406153
89,295.70509617958777,292.7794660294827,283.0159398937469
90,293.7856334565157,286.9130982263182,279.2234199604062
91,291.79222312219764,299.64153308011663,288.8616950910981
92,283.9848158739744,283.11181734712216,289.8400278956421
93,292.7656580457471,289.834816069484,290.8395822908983
94,291.82086749536325,279.19997804966215,295.73798584898896
95,294.72454574653625,291.8084582711258,284.96016020339846
96,287.88038382473763,286.9218113525137,294.74276901564957
97,287.9670657430763,292.8028852770652,295.7090882122451
98,290.8716047489198,285.0473047831486,287.8906873327412
99,295.70509617958777,296.68890136418014,296.691105993947
