Time(Iteration),UCB1,egreedy_0.1,IMFB
0,8521.154589493826,8749.010416013938,8768.630609715454
1,8760.109155598968,8685.089624837707,8660.844254468053
2,8712.180936651625,8813.807945758967,8754.556066883444
3,8676.602010668059,8656.561115276967,8720.645189715258
4,8686.57881926669,8600.585561560936,8761.704980832872
5,8704.918871985212,8750.350226784025,8792.692714268806
6,8774.433584376313,8582.012683930201,8567.517469364986
7,8706.440766826523,8683.743572440968,8612.180377544299
8,8656.561115276967,8714.850427434818,8629.449072630105
9,8770.213710312468,8563.001611243906,8561.743608850107
10,8639.304344353108,8727.341156473092,8813.807945758967
11,8763.055100172316,8726.37789496921,8739.036426556144
12,8640.873618703712,8688.00318084627,8693.465304310015
13,8635.18069798411,8669.397971180731,8724.833899573327
14,8660.8684134542,8679.386922931486,8632.759810717136
15,8717.832730294482,8693.707432570522,8760.088356467775
16,8767.392493493277,8855.29331524541,8686.372224992461
17,8442.505474108495,8607.828141441083,8553.004458994037
18,8825.024934498748,8872.555691972326,8685.127316841375
19,8720.707854893564,8593.39723219911,8836.256584920966
20,8607.71603860858,8869.593214711093,8703.668219986897
21,8573.360655147242,8758.87958408666,8602.163534731759
22,8716.45113525437,8803.916280720809,8689.44245663308
23,8741.426741373603,8700.109930673481,8647.997316755154
24,8617.926630637992,8683.444362183878,8781.455040911918
25,8619.389557774217,8660.648829233916,8722.086622956662
26,8561.684680985923,8545.70261058003,8739.10882851864
27,8657.914796298277,8606.123449547214,8500.90098063506
28,8741.938423826088,8714.648884003142,8729.186851370883
29,8650.923890228376,8590.554024555211,8537.058959121558
30,8638.91393676355,8563.214752460277,8733.446830300785
31,8696.029746162374,8718.99454971604,8778.199414390503
32,8623.713557471325,8673.680389850368,8670.47132447825
33,8781.701826907041,8650.923890228376,8739.075675985603
34,8679.470253651045,8568.993584871267,8744.766373597296
35,8744.783351464454,8640.838243062766,8743.235812681756
36,8651.876594844633,8574.73382984318,8706.511539568866
37,8745.991467470321,8710.521770942309,8617.741426068898
38,8637.200083460402,8763.15600916398,8643.280613019544
39,8646.558703579141,8798.35079791702,8866.998523714867
40,8864.133690947836,8640.907964025237,8665.165210672698
41,8669.397971180731,8646.621736285815,8688.01857190708
42,8771.508455412491,8542.91728815125,8831.898968282087
43,8736.27829765307,8748.89781089961,8710.76126602058
44,8772.801597969823,8619.216386169754,8646.558703579141
45,8583.455367265766,8555.985604572543,8751.762808789881
46,8414.062474143748,8702.073720267275,8689.427303939186
47,8734.881621524715,8785.701808198904,8753.272482035847
48,8747.12547236349,8636.207102465773,8773.03400077571
49,8692.292900387023,8612.205732785416,8669.042408764983
50,8693.687206268676,8692.040704123916,8622.113865052044
51,8527.01665053397,8658.054209958013,8660.8684134542
52,8690.810191361614,8801.145439749149,8551.663164155909
53,8646.5993800818,8670.913328254801,8656.632588132534
54,8695.121413837736,8652.353770285088,8794.10020503848
55,8579.091395514408,8646.621736285815,8554.565823153936
56,8732.040690819307,8770.105248212816,8727.769122477397
57,8544.253526728235,8541.468204299454,8774.442732807816
58,8603.586352519504,8602.165824130065,8669.404054693789
59,8626.160567227138,8643.77085991262,8660.919335394126
60,8793.948585906366,8667.970017862408,8713.57887332498
61,8650.846896624185,8586.11044691998,8812.234019034859
62,8626.396145601975,8794.081519192889,8705.089490551936
63,8727.75518798912,8753.252356551984,8687.964564223526
64,8702.238614178741,8768.68538313965,8567.587948900642
65,8600.582901048441,8713.611975460728,8653.704487269573
66,8799.775865267562,8692.108193242359,8754.681214067954
67,8568.996683395884,8696.56098455883,8851.641181095965
68,8665.113389855014,8723.54448959027,8846.016538615046
69,8700.752363404605,8734.881621524715,8726.35115829573
70,8829.133301158017,8626.160567227138,8638.034185735083
71,8620.82502095068,8777.252024861911,8876.676607563288
72,8656.53772610787,8848.182747214054,8577.687864036136
73,8720.602881530629,8707.931320987473,8729.156508232823
74,8638.044092421977,8756.053255942074,8754.685529625773
75,8685.167695533884,8697.980765977436,8710.606325994673
76,8603.601691317015,8680.895570376819,8743.369518780677
77,8640.907964025237,8750.440673048606,8760.317595077446
78,8738.927175862633,8670.865771298068,8681.925693982968
79,8768.101113592436,8757.484516266826,8736.203083438495
80,8592.03757143515,8739.104375379442,8612.174709649664
81,8676.618902818342,8704.918080238323,8612.205732785416
82,8726.32034446413,8726.371185804042,8729.156508232823
83,8749.026692907775,8665.21184832451,8734.877925255374
84,8538.517381394882,8662.328067426233,8597.230990815715
85,8717.796372008166,8629.449072630105,8665.061785113301
86,8632.313438283207,8676.57326338001,8643.6026990086
87,8696.558308943717,8781.455040911918,8768.68538313965
88,8658.04132016464,8579.096973157635,8636.293894812074
89,8758.87958408666,8830.655400828062,8679.42196965248
90,8635.004564098437,8722.022259905665,8713.541066561758
91,8627.686010551857,8703.631636274951,8726.35115829573
92,8606.477268167026,8795.356537242411,8754.498964383909
93,8674.548400379914,8697.575112830407,8659.208767274617
94,8731.012891644818,8697.660629019167,8744.70029867756
95,8744.70029867756,8576.208429589213,8704.918871985212
96,8615.015244648193,8600.725132538679,8799.638588773523
97,8705.080444614277,8801.045389540319,8706.498222584043
98,8669.350635682888,8724.953221622376,8805.405048154451
99,8667.779001575424,8645.201954867209,8697.661240528332
